Title,Link,Author,Date,Push_Count
[新聞] 國際塗鴉藝術家 彩繪天母球場,https://www.ptt.cc/bbs/Baseball/M.1742137171.A.173.html,hihihihehehe,3/16,8
[新聞] spc公開二複賽開打 中華科大、台鋼科大下馬,https://www.ptt.cc/bbs/Baseball/M.1742137600.A.434.html,karta328,3/16,3
[新聞] spc中華科大複賽三戰全勝 率先晉級公開二級,https://www.ptt.cc/bbs/Baseball/M.1742137934.A.C19.html,karta328,3/16,1
[新聞] 不問只看youtube會學到東西嗎？陳偉殷的答案：不可能,https://www.ptt.cc/bbs/Baseball/M.1742138192.A.140.html,hihihihehehe,3/16,15
[討論] 陳偉殷引退感覺討論度低,https://www.ptt.cc/bbs/Baseball/M.1742139239.A.B14.html,duncan3254,3/16,99
[新聞] 若生涯再重來一次 陳偉殷：「我還是會從,https://www.ptt.cc/bbs/Baseball/M.1742139750.A.C9B.html,asdf1256,3/16,35
[分享] 石川雅規 將擔任養樂多本季主場開幕戰先發,https://www.ptt.cc/bbs/Baseball/M.1742140268.A.8BF.html,thnlkj0665,3/16,7
[分享] 今永昇太：我的英文是母語等級的。,https://www.ptt.cc/bbs/Baseball/M.1742140284.A.D0B.html,AisinGioro,3/16,47
[分享] 蔡其昌會長 threads,https://www.ptt.cc/bbs/Baseball/M.1742140563.A.947.html,leftavoid,3/16,100+
[新聞] 少見「9傳3」尷尬出局　林哲瑄自我警惕：錯誤示範,https://www.ptt.cc/bbs/Baseball/M.1742140804.A.A09.html,WuSam,3/17,38
[情報] mlb新秀對抗賽 李灝宇先發第四棒dh,https://www.ptt.cc/bbs/Baseball/M.1742148078.A.07D.html,WanYC,3/17,12
[分享] joey gallo 打算轉行當投手,https://www.ptt.cc/bbs/Baseball/M.1742149693.A.75A.html,Daiquiri21,3/17,21
[問題] 大巨蛋主客場問題,https://www.ptt.cc/bbs/Baseball/M.1742149825.A.1F6.html,Nt1,3/17,25
[情報] 洋基 clarke schmidt 春訓先發延後,https://www.ptt.cc/bbs/Baseball/M.1742160781.A.171.html,yaes111,3/17,15
[新聞] 中職邀醫護免費觀賽 台中洲際球場湧8000,https://www.ptt.cc/bbs/Baseball/M.1742164044.A.BDD.html,jal809,3/17,15
