Title,Link,Author,Date,Push_Count
[黑特] 綠毒賤畜請進，有事想跟你們商量,https://www.ptt.cc/bbs/HatePolitics/M.1742141956.A.53A.html,NuCat,3/17,15
[討論] 黃子洨要不要乾脆去打民進黨好了,https://www.ptt.cc/bbs/HatePolitics/M.1742142261.A.D9A.html,sanae0307,3/17,6
[討論] 反綠網軍真的很不認真耶,https://www.ptt.cc/bbs/HatePolitics/M.1742143015.A.2D4.html,pupu20317,3/17,26
[新聞] 台中首次發行200億公債「借新還舊」惹議,https://www.ptt.cc/bbs/HatePolitics/M.1742143332.A.878.html,reticentcrow,3/17,7
[討論] 小朋友最怕發生戰爭,https://www.ptt.cc/bbs/HatePolitics/M.1742143970.A.F88.html,aass5566,3/17,0
[討論]3q說禿頭之承認有問警察 你知不知道我是誰,https://www.ptt.cc/bbs/HatePolitics/M.1742145331.A.78A.html,amovie,3/17,1
[討論] 藍白放棄回復七天假了嗎？,https://www.ptt.cc/bbs/HatePolitics/M.1742145852.A.906.html,SJ4555048,3/17,4
[討論] 我爲什麼永遠不會爲我的國家而戰,https://www.ptt.cc/bbs/HatePolitics/M.1742146276.A.4E4.html,Sinreigensou,3/17,0
[黑特] 你認為台海有事美國必定來救的依據是啥？,https://www.ptt.cc/bbs/HatePolitics/M.1742147412.A.B1A.html,NuCat,3/17,0
[黑特] 反廢死反戒嚴公投自找死路,https://www.ptt.cc/bbs/HatePolitics/M.1742147969.A.613.html,seraphimm,3/17,1
[討論] 美軍會不會來根本是假議題,https://www.ptt.cc/bbs/HatePolitics/M.1742148821.A.BC7.html,ntpcgov,3/17,8
[討論] 挑釁完如果對方真的動手 支持挑釁的會幫,https://www.ptt.cc/bbs/HatePolitics/M.1742139437.A.D71.html,enlong777,3/16,0
[討論] 為啥鍾明軒暫離台灣不是去中國,https://www.ptt.cc/bbs/HatePolitics/M.1742139552.A.F13.html,flylim0902,3/16,13
[討論] 有一說一 今天獎座出包的立委是kmt的會怎樣,https://www.ptt.cc/bbs/HatePolitics/M.1742139927.A.79F.html,ivorysoap,3/16,0
[討論] 韓國也在反中,https://www.ptt.cc/bbs/HatePolitics/M.1742140039.A.A3A.html,maga0525,3/16,15
