Title,Link,Author,Date,Push_Count
[公告] 多人違規懲處,https://www.ptt.cc/bbs/Military/M.1742133582.A.768.html,mmmimi11tw,3/16,0
[情報] 烏俄戰爭isw 戰報（20250315）,https://www.ptt.cc/bbs/Military/M.1742135287.A.A44.html,Anderson0819,3/16,3
[情報] 烏俄戰爭戰線情報（20250316）,https://www.ptt.cc/bbs/Military/M.1742135469.A.E8D.html,Anderson0819,3/16,2
[情報] 烏俄戰爭談判情報（20250316）,https://www.ptt.cc/bbs/Military/M.1742135634.A.980.html,Anderson0819,3/16,1
[情報] 庫斯克行動：俄軍已完全收復蘇賈,https://www.ptt.cc/bbs/Military/M.1742135833.A.45E.html,Anderson0819,3/16,28
[新聞] 無人獵雷艦新聞兩則,https://www.ptt.cc/bbs/Military/M.1742137104.A.6D3.html,ryannieh,3/16,1
[新聞] 德國z世代對為國參戰興趣缺缺,https://www.ptt.cc/bbs/Military/M.1742142642.A.817.html,andyken,3/17,65
[新聞] 日本掃雷艇一度失火 無人傷亡油料未外洩,https://www.ptt.cc/bbs/Military/M.1742159473.A.EDD.html,tomhawkreal,3/17,2
[新聞] 曝英法將向烏派遣維和部隊　馬克宏：無,https://www.ptt.cc/bbs/Military/M.1742170054.A.396.html,win8719,3/17,36
[討論] 普通法院軍法官參審的國安法庭,https://www.ptt.cc/bbs/Military/M.1742175320.A.384.html,ryannieh,3/17,35
[分享] 中國國安部曝光台灣四名資通電軍成員,https://www.ptt.cc/bbs/Military/M.1742176323.A.AE3.html,mmmimi11tw,3/17,27
[新聞] aukus部署印太抗中 美核潛艇現身澳洲,https://www.ptt.cc/bbs/Military/M.1742184859.A.450.html,saccharomyce,3/17,7
[新聞] 俄副外長：北約需確保烏克蘭永不加入,https://www.ptt.cc/bbs/Military/M.1742185896.A.6EB.html,saccharomyce,3/17,11
[情報] 俄反對任何外國部隊於停戰後在烏維和,https://www.ptt.cc/bbs/Military/M.1742186685.A.54B.html,andyken,3/17,13
[情報] 烏克蘭達成和平協議的紅線,https://www.ptt.cc/bbs/Military/M.1742187389.A.64D.html,Anderson0819,3/17,3
