Title,Link,Author,Date,Push_Count
[新聞] 馬斯克：星艦明年載人形機器人飛火星 最,https://www.ptt.cc/bbs/Stock/M.1742125480.A.3E3.html,randy225,3/16,58
[新聞] 台積電擴大對美投資 曹興誠：台美外交可,https://www.ptt.cc/bbs/Stock/M.1742125645.A.9F1.html,TCB006,3/16,-5
[新聞] 陸港股相關etf齊揚,https://www.ptt.cc/bbs/Stock/M.1742126037.A.74F.html,nisi0773,3/16,17
[新聞] 美債翻身！etf 專家建議今年還會降息 離,https://www.ptt.cc/bbs/Stock/M.1742129681.A.E75.html,nisi0773,3/16,25
[新聞] 三星追趕台積無望？14奈米製程驚傳可能,https://www.ptt.cc/bbs/Stock/M.1742129712.A.1D6.html,carefri,3/16,43
[新聞] 害外送員被燙傷 美國星巴克判賠台幣165,https://www.ptt.cc/bbs/Stock/M.1742131306.A.665.html,cjol,3/16,34
[新聞] 不滿馬斯克介入歐洲政治 丹麥退休基金將,https://www.ptt.cc/bbs/Stock/M.1742134017.A.379.html,futurerich,3/16,57
[公告] 戰爭資產配置 系列文章 禁回,https://www.ptt.cc/bbs/Stock/M.1742138429.A.DB0.html,TroyeSivan,3/16,98
[新聞] 輝達gtc大會17日登場 台灣夜市首屆量子日,https://www.ptt.cc/bbs/Stock/M.1742139513.A.FAE.html,xephon,3/16,25
[新聞] 曾是掃地機器人王撐不住了！irobot公開,https://www.ptt.cc/bbs/Stock/M.1742140651.A.488.html,keel90135,3/16,100+
[新聞] 輝達gtc大會登場 科技股救星來了？,https://www.ptt.cc/bbs/Stock/M.1742141034.A.E91.html,KIMBEOM,3/17,47
[新聞] 電價下月起擬漲6 估904萬戶家庭每月多付,https://www.ptt.cc/bbs/Stock/M.1742169374.A.DB1.html,kof70380,3/17,93
[新聞] 外資調升目標價族群,https://www.ptt.cc/bbs/Stock/M.1742104205.A.752.html,KIMBEOM,3/16,62
[新聞] 關稅戰變運價戰！scfi連跌九周 海運一哥,https://www.ptt.cc/bbs/Stock/M.1742108829.A.C09.html,ann16,3/16,1
[新聞] 每賣一度水虧245元 台水水價檢討報告月,https://www.ptt.cc/bbs/Stock/M.1742109270.A.8D2.html,kof70380,3/16,60
