Title,Link,Author,Date,Push_Count
[新聞] 奇謀！輝達靠自損電路把晶片賣到中國,https://www.ptt.cc/bbs/Tech_Job/M.1742465570.A.2BA.html,penny83320,3/20,4
[新聞] 駐美大使：不排除最先進晶片在美國生產,https://www.ptt.cc/bbs/Tech_Job/M.1742467775.A.CFD.html,cjol,3/20,13
[新聞] 黃仁勳成功是「運氣好」？季辛格批輝達ai,https://www.ptt.cc/bbs/Tech_Job/M.1742474354.A.072.html,Angels5566,3/20,18
[新聞] 救英特爾？ 台積董事會從未討論,https://www.ptt.cc/bbs/Tech_Job/M.1742474831.A.5EB.html,hvariables,3/20,5
[新聞]黃仁勳：川普關稅政策不影響輝達，美國製,https://www.ptt.cc/bbs/Tech_Job/M.1742480602.A.C52.html,pl132,3/20,3
[討論]joh版主竄改推文數推噓進度,https://www.ptt.cc/bbs/Tech_Job/M.1742492293.A.0EA.html,pannn,3/21,92
[新聞] 2024年全球前10大ic設計排名出爐 輝達穩,https://www.ptt.cc/bbs/Tech_Job/M.1742515934.A.7FC.html,jeff0025,3/21,26
[新聞]受全球晶片股價下跌拖累，台積電恐讓出亞,https://www.ptt.cc/bbs/Tech_Job/M.1742531001.A.5E5.html,pl132,3/21,16
[討論] 台達電事件，是不是被河蟹了,https://www.ptt.cc/bbs/Tech_Job/M.1742536601.A.B1A.html,CrazyKill,3/21,76
[討論] 有人小時候的夢想就是成為工程師嗎？,https://www.ptt.cc/bbs/Tech_Job/M.1742557641.A.5F5.html,a123dady,3/21,25
[新聞] 歐盟點名蘋果、谷歌 違反數位市場法,https://www.ptt.cc/bbs/Tech_Job/M.1742563336.A.8C8.html,hvariables,3/21,3
[請益] 小主管同事上班看盜版美劇正常嗎？,https://www.ptt.cc/bbs/Tech_Job/M.1742563541.A.BFC.html,kingofsdtw,3/21,9
[新聞] 台達東莞廠 陸籍員工辱罵台籍幹部,https://www.ptt.cc/bbs/Tech_Job/M.1742574158.A.E0F.html,hr478952,3/22,18
[請益] 新鮮人offer請益,https://www.ptt.cc/bbs/Tech_Job/M.1742576782.A.D4D.html,Aaron910135,3/22,1
[公告] techjob板板規 20220526更新,https://www.ptt.cc/bbs/Tech_Job/M.1393646135.A.A28.html,mmkntust,3/01,48
